,0
URLSimilarityIndex,0.9862894583467512
LineOfCode,0.013253826993117184
IsHTTPS,0.0004349623110737619
NoOfSubDomain,2.1752349057876747e-05
DomainLength,0.0
URLLength,0.0
TLDLegitimateProb,0.0
URLCharProb,0.0
CharContinuationRate,0.0
IsDomainIP,0.0
NoOfObfuscatedChar,0.0
ObfuscationRatio,0.0
NoOfLettersInURL,0.0
LetterRatioInURL,0.0
NoOfDegitsInURL,0.0
DegitRatioInURL,0.0
TLDLength,0.0
HasObfuscation,0.0
NoOfQMarkInURL,0.0
NoOfEqualsInURL,0.0
NoOfOtherSpecialCharsInURL,0.0
NoOfAmpersandInURL,0.0
SpacialCharRatioInURL,0.0
LargestLineLength,0.0
HasTitle,0.0
DomainTitleMatchScore,0.0
URLTitleMatchScore,0.0
HasFavicon,0.0
Robots,0.0
IsResponsive,0.0
NoOfURLRedirect,0.0
NoOfSelfRedirect,0.0
HasDescription,0.0
NoOfPopup,0.0
NoOfiFrame,0.0
HasExternalFormSubmit,0.0
HasSocialNet,0.0
HasSubmitButton,0.0
HasHiddenFields,0.0
HasPasswordField,0.0
Bank,0.0
Pay,0.0
Crypto,0.0
HasCopyrightInfo,0.0
NoOfImage,0.0
NoOfCSS,0.0
NoOfJS,0.0
NoOfSelfRef,0.0
NoOfEmptyRef,0.0
NoOfExternalRef,0.0
